id|first_name|last_name|nickname|dob|nationality|height|weight|role
3541|Mathieu|Flamini||1984-03-07|France|178|67|midfielder
3542|Elia|Boseggia||2004-02-06|Italy|||
3543|Adam|Idah||2001-02-11|Republic of Ireland|190|83|striker
3544|Domen|Crnigoj||1995-11-18|Slovenia|185|70|midfielder
3545|Gastón|Pereiro||1995-06-11|Uruguay|188|76|midfielder
3546|Pablo|Pérez||2001-08-18|Spain|174||defender
3547|Quentin|Beunardeau||1994-02-27|France|184|79|goalkeeper
3548|Melvyn|Remy||2003-07-19|France|||
3549|Josh|Maja||1998-12-27|Nigeria|180|74|striker
3550|Vítor|Machado Ferreira|Vitinha|2000-02-13|Portugal|172|64|midfielder
3551|Alberto|Redondo||1997-05-22|Spain|||
3552|Lautaro|Valenti||1999-01-14|Argentina|188|80|
3553|Rafael|Navarro|Rafa Navarro|1994-02-24|Spain|173|61|defender
3554|Arkadiusz|Milik||1994-02-28|Poland|186|80|striker
3555|Alexander|Iwobi||1996-05-03|Nigeria|180|75|midfielder
3556|Roman|Lazar||2004-01-01|Moldova|||goalkeeper
3557|Theo|Corbeanu||2002-05-17|Canada|190|78|midfielder
3558|Mazire|Soula||1998-06-06|France|172|70|
3559|Juan|Sánchez||1990-01-01|Argentina|177|78|defender
3560|Theodore|Efouba Ayissi||1997-05-05|France|184|75|Difensore Centrale
3561|Nuri|Sahin||1988-09-05|Turkey|180|73|defender
3562|Mohamed|Achi||2002-01-16|France|||midfielder
3563|Milan|Skriniar||1995-02-11|Slovakia|187|80|defender
3564|Uffe|Bech||1993-01-13|Denmark|171|74|
3565|Benjamin|Mendy||1994-07-17|France|185|85|defender
3566|Matthew|Cox||2003-05-02|England|||goalkeeper
3567|Federico|Fazio||1987-03-17|Argentina|195|85|defender
3568|Mattia|Novella||2001-01-25|Italy|||defender
3569|Cristian|Ganea||1992-05-24|Romania|176|72|defender
3570|Holger|Badstuber||1989-03-13|Germany|189|83|
3571|Ricard|Puig Martí|Riqui Puig|1999-08-13|Spain|169|56|midfielder
3572|Adam|Zrelák||1994-05-05|Slovakia|183|82|striker
3573|Abd-Al-Ali Morakinyo Olaposi|Koiki|Ali Koiki|1999-08-22|England|||defender
3574|Arthur|Desmas||1994-04-07|France|196|87|goalkeeper
3575|Nabil|Fekir|Nabil Fekir|1993-07-18|France|173|72|striker
3576|Matei|Ilie||2002-12-11|Romania|185||
3577|Wayne|Hennessey||1987-01-24|Wales|198|90|goalkeeper
3578|Armindo|Tué Na Bangna|Bruma|1994-10-24|Portugal|173|70|midfielder
3579|Sloan|Privat||1989-07-24|France|186||forward
3580|Arthur|Masuaku||1993-11-07|Congo DR|179|70|defender
3581|Karim|Onisiwo||1992-03-17|Austria|188|85|midfielder
3582|Esteban|Burgos||1992-01-09|Argentina|190|80|defender
3583|Federico|Bernardeschi||1994-02-16|Italy|185|77|striker
3584|Lee|Grant||1983-01-27|England|193|83|goalkeeper
3585|Max|Kruse||1988-03-19|Germany|180|76|striker
3586|Benjamin|Besic||2002-06-02|France|||
3587|Harvey|Elliott||2003-04-04|England|170||
3588|David|García|David García|1994-02-14|Spain|185|72|defender
3589|Ilan|Kebbal||1998-07-10|Algeria|169|60|midfielder
3590|Niclas|Eliasson||1995-12-07|Sweden|176|73|midfielder
3591|Nico|Elvedi||1996-09-30|Switzerland|189|81|defender
3592|Konstantinos|Mitroglou||1988-03-12|Greece|188|86|striker
3593|Lukasz|Piszczek||1985-06-03|Poland|184|79|defender
3594|Florian|Kastenmeier||1997-06-28|Germany|192|85|goalkeeper
3595|Davide|Bettella||2000-04-07|Italy|185||
3596|Filip|Marschall||2003-04-24|England|||goalkeeper
3597|Merih|Demiral||1998-03-05|Turkey|192|86|defender
3598|Eugenio|Lamanna||1989-08-07|Italy|185|80|
3599|Konrad|Laimer||1997-05-27|Austria|180|72|midfielder
3600|Gael|Alonso||2002-07-22|Spain|||
3601|Jonathan|Biabiany||1988-04-28|France|177|73|midfielder
3602|Marcelo Antonio|Guedes Filho|Marcelo|1987-05-25|Brazil|191|85|defender
3603|Davide|Mastrantonio||2004-01-16|Italy|187||
3604|Pedro|Mosquera||1988-04-21|Spain|184|75|midfielder
3605|Gianni|Munari||1983-06-24|Italy|190|84|midfielder
3606|Alejandro|Primo||2004-07-10|Spain|||
3607|Leonardo|Mancuso||1992-05-26|Italy|182|80|
3608|Youssef|En-Nesyri||1997-06-01|Morocco|189|73|striker
3609|Nathan|Broadhead||1998-04-05|Wales|178|73|
3610|Alessandro|Berardi||1991-01-16|Italy|185|74|goalkeeper
3611|Franck|Tabanou||1989-01-30|France|178|77|defender
3612|Ayoze|Pérez||1993-07-29|Spain|178|72|striker
3613|Maxime|Lopez||1997-12-04|France|167|58|midfielder
3614|Grejohn|Kyei||1995-08-12|France|187|84|striker
3615|Nabil|Jaadi||1996-07-01|Morocco|178|69|Trequartista
3616|Camillo|Ciano||1990-02-22|Italy|176|73|striker
3617|Bartosz|Kapustka||1996-12-23|Poland|179|62|midfielder
3618|Hervé|Lybohy||1983-07-14|Niger|187|90|
3619|Frankie|Maguire||2003-07-29|England|||
3620|Jerome|Phojo||1993-04-15|France|178|71|defender
3621|Niclas|Stierlin||2000-01-22|Germany|182|75|Defensive Midfielder
3622|Ferland|Mendy||1995-06-08|France|180|73|defender
3623|Sulley|Muntari||||||
3624|Rubén|Castro||1981-06-27|Spain|169|68|striker
3625|Tom|Lacoux||2002-01-25|France|||midfielder
3626|Luke|Dreher||1998-11-27|England|184|76|midfielder
3627|Caleb|Watts||2002-01-16|Australia|171||
3628|Romain|Amalfitano||1989-08-27|France|175|71|midfielder
3629|Borja|Garcés||1999-08-06|Spain|175|71|striker
3630|Andrei|Girotto|Andrei Girotto|1992-02-17|Brazil|186|79|defender
3631|Federico|Marchetti||1983-02-07|Italy|188|76|goalkeeper
3632|Ledian|Memushaj||1986-12-07|Albania|175|71|midfielder
3633|Mario|Sampirisi||1992-10-31|Italy|188|75|
3634|Chaka|Traorè||2004-12-23|Côte d&#39;Ivoire|175||midfielder
3635|Mikkel|Damsgaard||2000-07-03|Denmark|176|66|midfielder
3636|Darío|Benedetto||1990-05-17|Argentina|177|75|
3637|Aiden|O&#39;Neill||1998-07-04|Australia|178|70|midfielder
3638|Charly|Jan||1999-05-27|France|186|81|goalkeeper
3639|Jordi|Calavera||1995-08-02|Spain|182|74|defender
3640|Yordan|Osorio||1994-05-10|Venezuela|189|77|defender
3641|Luca|Seri||1999-12-09|Italy|181||goalkeeper
3642|Emil|Forsberg||1991-10-23|Sweden|177|76|midfielder
3643|Thomas|Müller||1989-09-13|Germany|185|76|striker
3644|Andreas|Skov Olsen||1999-12-29|Denmark|187|79|
3645|Marco|Benassi||1994-09-08|Italy|183|80|midfielder
3646|James|Maddison||1996-11-23|England|175|73|midfielder
3647|Andreas|Söndergaard||2001-01-17|Denmark|189||goalkeeper
3648|Salvatore|Pezzella||2000-03-11|Italy|||midfielder
3649|Jaime|Sierra||1998-03-18|Spain|175|63|Centrocampista Centrale
3650|Lennard|Maloney||1999-10-08|USA|187|89|defender
3651|Elbasan|Rashani||1993-05-09|Kosovo|181|71|
3652|Stephen|Ireland||1986-08-22|Republic of Ireland|173|67|Centrocampista Centrale
3653|Manuel|Castellano Castro|Lillo|1989-03-27|Spain|176|71|defender
3654|Ousmane|Ba||2002-06-06|Senegal|185||goalkeeper
3655|Thomas|Meunier||1991-09-12|Belgium|190|90|defender
3656|Jesús|Navas||1985-11-21|Spain|172|60|defender
3657|Álvaro|Fernández||2003-03-23|Spain|||defender
3658|Cedric|Itten||1996-12-27|Switzerland|189|81|striker
3659|Matthijs|de Ligt||1999-08-12|Netherlands|188|89|defender
3660|José|Arnáiz||1995-04-15|Spain|175|70|midfielder
3661|William|Smallbone||2000-02-21|Republic of Ireland|||
3662|Mousa|Dembélé||1987-07-16|Belgium|185|87|midfielder
3663|Ante|Coric||1997-04-14|Croatia|172|68|midfielder
3664|Steve|Cook||1991-04-19|England|185|82|defender
3665|Mike|Maignan||1995-07-03|France|191|89|goalkeeper
3666|Matt|Ritchie||1989-09-10|Scotland|172|76|midfielder
3667|Baptiste|Valette||1992-09-01|France|185|78|
3668|Tommaso|Bertini||2004-01-13|Italy|||goalkeeper
3669|Jack|Grealish||1995-09-10|England|175|68|midfielder
3670|Álvaro|Giménez||1991-05-19|Spain|183|83|striker
3671|M'Baye|Niang||1994-12-19|Senegal|184|75|striker
3672|Petar|Zovko||2002-03-25|Bosnia and Herzegovina|192|85|goalkeeper
3673|Oliver|Burke||1997-04-07|Scotland|188|74|midfielder
3674|Carles|Marco||2000-04-05|Spain|||defender
3675|Andrew|Hjulsager||1995-01-15|Denmark|175|73|
3676|Jessy|Moulin||1986-01-13|France|185|88|goalkeeper
3677|Ola|Aina||1996-10-08|Nigeria|184|82|defender
3678|Percy|Ruiz||1996-01-14|France|||
3679|Kean|Bryan||1996-11-01|England|185|72|defender
3680|Mattia|Damiani||2003-02-25|Italy|||
3681|Sergio|Canales||1991-02-16|Spain|176|65|midfielder
3682|Alberto|García|Alberto García|1985-02-09|Spain|181|77|goalkeeper
3683|Halil|Dervisoglu||1999-12-08|Turkey|183|76|striker
3684|Jakob|Pálsson||2003-01-07|Iceland|||
3685|Francisco|Molinero||1985-07-26|Spain|177|77|defender
3686|Yussuf|Poulsen||1994-06-15|Denmark|192|84|striker
3687|João Pedro|Neves Filipe|Jota|1999-03-30|Portugal|175|60|midfielder
3688|José Luis|Morales||1987-07-23|Spain|180|70|midfielder
3689|Mario|González||1996-02-25|Spain|183|76|striker
3690|Kevin|Behrens||1991-02-03|Germany|184|84|striker
3691|John|Fleck||1991-08-24|Scotland|170|72|midfielder
3692|Johann|Carrasso||1988-05-07|France|188|82|goalkeeper
3693|Anthony|Maisonnial||1998-03-23|France|187|77|goalkeeper
3694|Richarlison|de Andrade|Richarlison|1997-05-10|Brazil|184|83|striker
3695|Gabriele|Gori||1999-02-13|Italy|187|75|striker
3696|Cristiano|Piccini||1992-09-26|Italy|189|86|defender
3697|Franck|Ribéry||1983-04-07|France|170|72|midfielder
3698|Jordan|Amavi||1994-03-09|France|176|70|defender
3699|Flavien|Tait||1993-02-02|France|175|70|midfielder
3700|Nicky|Medja Beloko||2000-02-16|Switzerland|177|65|midfielder
3701|Manuel|Agudo Durán|Nolito|1986-10-15|Spain|175|65|midfielder
3702|Manuel|Perez||1991-05-11|France|180|71|Defensive Midfielder
3703|Gabriel|Fernández||1994-05-13|Uruguay|186|80|striker
3704|Zach|Awe||2004-01-09|England|||defender
3705|Mauro|Dos Santos||1989-07-07|Argentina|182|79|defender
3706|Franco|Israel||2000-04-22|Uruguay|187|86|
3707|Mathew|Leckie||1991-02-04|Australia|181|82|midfielder
3708|Dara|Costelloe||2002-12-11|Republic of Ireland|||midfielder
3709|Yllan|Okou||2002-12-23|France|||defender
3710|Loic|Perrin||1985-08-07|France|181|80|defender
3711|Fisnik|Asllani||2002-08-08|Germany|188|81|striker
3712|Scotty|Sadzoute||1998-04-29|France|172|56|defender
3713|Vedad|Ibisevic||1984-08-06|Bosnia and Herzegovina|188|83|striker
3714|Mathis|Hamdi||2003-10-18|France|||defender
3715|Emiliano|Insúa||1989-01-07|Argentina|180|79|defender
3716|Nils|Petersen||1988-12-06|Germany|188|84|striker
3717|Landry|Bonnefoi||1983-09-20|France|184|72|goalkeeper
3718|Marco|Moreno||2001-02-20|Spain|192||defender
3719|Dedryck|Boyata||1990-11-28|Belgium|188|84|defender
3720|Fraser|Hornby||1999-09-13|Scotland|195|85|striker
3721|Stefan|Kießling||1984-01-25|Germany|191|81|striker
3722|Javier|Serrano Martínez|Javier Serrano|2003-01-16|Spain|||midfielder
3723|Miguel|Gutiérrez||2001-07-27|Spain|180|68|defender
3724|Jaroslav|Drobny||1979-10-18|Czech Republic|192|90|goalkeeper
3725|Ronny|Rodelin||1989-11-18|France|192|82|
3726|Antonino|Ragusa||1990-03-27|Italy|183|78|
3727|Fernando|Torres||1984-03-20|Spain|186|79|striker
3728|Ibrahim|Diakité||2003-10-31|France|178||
3729|Douglas|dos Santos Justino de Melo|Douglas Santos|1994-03-22|Brazil|175|70|defender
3730|Nathan|Patterson||2001-10-16|Scotland|183|72|defender
3731|Filippo|Frison||2002-07-30|Italy|||defender
3732|Enzo|Millot||2002-07-17|France|174|66|
3733|Bruno Eduardo|Regufe Alves|Bruno Alves|1981-11-27|Portugal|189|83|
3734|Maximilian|Ullmann||1996-06-17|Austria|180|70|defender
3735|Ljubomir|Fejsa||1988-08-14|Serbia|185|80|
3736|Julián|Illanes||1997-03-10|Argentina|188|75|defender
3737|Luis|Rioja||1993-10-16|Spain|175|68|midfielder
3738|Matthew|Garbett||2002-04-13|New Zealand|182||
3739|Juan|Cuadrado||1988-05-26|Colombia|179|72|Wing Back
3740|Claudiu|Micovschi||1999-05-19|Romania|180||midfielder
3741|Youssoufa|Moukoko||2004-11-20|Germany|179|75|striker
3742|Mehdi|Abeid||1992-08-06|Algeria|178|81|
3743|Héctor|Herrera||1990-04-19|Mexico|185|80|midfielder
3744|David|Strelec||2001-04-04|Slovakia|185|73|
3745|Melvin|Bard||2000-11-06|France|173|65|defender
3746|Joel|Coleman||1995-09-26|England|198|82|goalkeeper
3747|Luiz|de Araújo Guimarães Neto|Luiz Araújo|1996-06-02|Brazil|175|70|midfielder
3748|Mathias|Jensen||1996-01-01|Denmark|180|68|midfielder
3749|Stefan|Radu||1986-10-22|Romania|183|79|defender
3750|Dele|Alli||1996-04-11|England|188|76|midfielder
3751|Jean Lucas|de Souza Oliveira|Jean Lucas|1998-06-22|Brazil|181|78|
3752|Tim|Leibold||1993-11-30|Germany|174|72|Wing Back
3753|Rodrigo|Moreno|Rodrigo|1991-03-06|Spain|182|77|striker
3754|Sacha|Delaye||2002-04-23|France|171||striker
3755|Unai|Simón|Unai Simón|1997-06-11|Spain|190|88|goalkeeper
3756|Virgile|Pinson||1996-02-22|France|177|67|striker
3757|Joseba|Zaldua||1992-06-24|Spain|176|70|defender
3758|Lluís|López|Lluís López|1997-03-05|Spain|182|79|defender
3759|Mitchell|van Bergen||1999-08-27|Netherlands|170|62|midfielder
3760|Diogo José|Teixeira da Silva|Diogo Jota|1996-12-04|Portugal|178|68|
3761|Daniel|Rebollo||1999-12-10|Spain|185|77|goalkeeper
3762|Rui Tiago|Dantas da Silva|Rui Silva|1994-02-07|Portugal|191|91|goalkeeper
3763|Harry|Boyes||2001-11-02|England|||
3764|Marc|Roca||1996-11-26|Spain|184|77|Defensive Midfielder
3765|Azor|Matusiwa||1998-04-28|Netherlands|173|72|Defensive Midfielder
3766|Harrison|Ashby||2001-11-14|Scotland|||
3767|Matheus Henrique|de Souza|Matheus Henrique|1997-12-19|Brazil|173|71|midfielder
3768|Ken|Sema||1993-09-30|Sweden|180|69|midfielder
3769|Gabriel|Paletta||1986-02-15|Italy|190|88|
3770|Léo|Leroy||2000-02-14|France|187|82|midfielder
3771|Daniel|Carvajal||1992-01-11|Spain|173|73|defender
3772|François|Kamano||1996-05-02|Guinea|175|77|midfielder
3773|Kyriakos|Papadopoulos||1992-02-23|Greece|185|87|
3774|Kevin|Danso||1998-09-19|Austria|190|89|defender
3775|Denis|Dragus||1999-07-06|Romania|185|79|
3776|Bruno|Zuculini||1993-04-02|Argentina|182|74|midfielder
3777|Gianluca|Contini||2001-06-18|Italy|||striker
3778|Cheick|Diabaté||1988-04-25|Mali|194|88|striker
3779|Adrián|Bernabé||2001-05-26|Spain|170||
3780|Lukas|Mühl||1997-01-27|Germany|189|83|defender
3781|Mads|Pedersen||1996-09-01|Denmark|174|72|defender
3782|Alex|Cordaz||1983-01-01|Italy|188|83|goalkeeper
3783|Axel|Witsel||1989-01-12|Belgium|186|81|midfielder
3784|Conor|Noß||2001-01-01|Republic of Ireland|181|72|
3785|Alkhaly Momo|Cissé|Momo Cissé|2002-10-17|Guinea|178|64|midfielder
3786|Guido|Guerrieri||1996-02-25|Italy|184|78|goalkeeper
3787|Salis|Abdul Samed||2000-03-26|Ghana|180|61|Defensive Midfielder
3788|Thomas|Fontaine||1991-05-08|Madagascar|184|78|defender
3789|Matteo|Corduan||2002-06-19|France|||midfielder
3790|Lucas|Dias||1999-05-22|France|||goalkeeper
3791|Joao Felipe|Schmidt Urbano|João Schmidt|1993-05-19|Brazil|183|80|
3792|Fábio Leandro|Freitas Gouveia Carvalho|Fábio Carvalho|2002-08-30|Portugal|||midfielder
3793|Arnaud|Lusamba||1997-01-04|France|179|74|midfielder
3794|Youssouph|Badji||2001-12-20|Senegal|192|80|striker
3795|Marco|Mancosu||1988-08-22|Italy|180|75|midfielder
3796|Nathan|Young-Coombes||2003-01-15|England|||midfielder
3797|Bright|Arrey-Mbi||2003-03-26|Germany|187|80|defender
3798|Radja|Nainggolan||1988-05-04|Belgium|176|65|midfielder
3799|José Luis|Friaza||2002-02-15|Spain|||
3800|Jacopo|Ricco||2003-02-09|Italy|||goalkeeper
3801|Robin|Koch||1996-07-17|Germany|192|85|defender
3802|Ivann|Botella||1999-06-28|France|||
3803|Samuel|Pérez|Samu Pérez|1997-04-26|Spain|179|69|goalkeeper
3804|Francesco|Cusumano||2001-02-06|Italy|190||defender
3805|Francesco|D&#39;Alterio||2002-06-11|Italy|||goalkeeper
3806|Lorenzo|Codutti||2003-06-27|Italy|||defender
3807|Manuel Alejandro|García Sánchez|Manu García|1986-04-26|Spain|182|74|
3808|Yoann|Salmier||1992-11-21|French Guiana|188|85|defender
3809|Jean-Armel|Kana-Biyik||1989-07-03|Cameroon|184|86|defender
3810|Birger|Verstraete||1994-04-16|Belgium|175|65|midfielder
3811|Alejandro|Gallar Falguera|Álex Gallar|1992-03-19|Spain|176|71|midfielder
3812|Kaique|Rocha Lima|Kaique Rocha|2001-02-28|Brazil|197|89|defender
3813|Javier|Martín Contreras|Javí Martín|1998-09-16|Spain|||
3814|Borja|García||1990-11-02|Spain|175|72|midfielder
3815|Christoph|Zimmermann||1993-01-12|Germany|194|92|defender
3816|Irwyn|Lomami||2003-12-30|France|||defender
3817|Isaac|Matondo||1999-03-24|France|168|67|
3818|Kamil|Conteh||2002-12-26|England|177||midfielder
3819|Vincent|Sierro||1995-10-08|Switzerland|185|75|midfielder
3820|Marco|Stiepermann||1991-02-09|Germany|190|86|striker
3821|Haris|Belkebla||1994-01-28|Algeria|177|68|midfielder
3822|Víctor|Campuzano||1997-05-31|Spain|174|72|striker
3823|Luca|Mora||1988-05-10|Italy|183|80|midfielder
3824|Pedro|González|Pedri|2002-11-25|Spain|174|60|midfielder
3825|Kévin|Théophile-Catherine||1989-10-28|France|183|86|defender
3826|Edoardo|Bove||2002-05-16|Italy|||midfielder
3827|Adrián|López||1988-01-08|Spain|183|73|striker
3828|Ja-Cheol|Koo|Koo Ja-Cheol|1989-02-27|Korea Republic|183|79|midfielder
3829|José Ángel|Pozo la Rosa||1996-03-15|Spain|171|67|midfielder
3830|Morten|Thorsby||1996-05-05|Norway|189|79|midfielder
3831|Claud|Adjapong||1998-05-06|Italy|180|74|defender
3832|Salih|Uçan||1994-01-06|Turkey|182|65|midfielder
3833|Madih|Talal||1997-08-17|France|||midfielder
3834|Christian|Kouakou||1991-03-01|Côte d&#39;Ivoire|182|72|
3835|Memeh Caleb|Okoli||2001-07-13|Italy|191|91|defender
3836|Andrea|Marcucci||1999-02-07|Italy|173|68|Defensive Midfielder
3837|Youri|Tielemans||1997-05-07|Belgium|176|72|midfielder
3838|Iron|Gomis||1999-11-08|France|||
3839|Niccolò|Ricchi||2000-12-10|Italy|||defender
3840|Giacomo|Toniolo||2004-04-01|Italy|||goalkeeper
3841|Raúl|Lizoain||1991-01-27|Spain|186|83|Portiere
3842|Iñigo|Córdoba Querejeta|Iñigo Córdoba|1997-03-13|Spain|180|76|midfielder
3843|Mohammed|Salisu||1999-04-17|Ghana|191|82|defender
3844|Boris|Radunovic||1996-05-26|Serbia|194|84|goalkeeper
3845|Sergi|Palencia||1996-03-23|Spain|172|67|defender
3846|Edgar|Barreto||1984-07-15|Paraguay|180|79|midfielder
3847|Cristian|Ansaldi||1986-09-20|Argentina|181|76|defender
3848|Cristian|Benavente||1994-05-19|Peru|173|68|midfielder
3849|Diego|Laxalt||1993-02-07|Uruguay|178|68|
3850|Oliver|Kragl||1990-05-12|Germany|180|77|midfielder
3851|Jayden|Bogle||2000-07-27|England|178|69|Wing Back
3852|Willian|Borges da Silva|Willian|1988-08-09|Brazil|174|76|midfielder
3853|Zlatan|Ibrahimovic||1981-10-03|Sweden|195|95|striker
3854|Iker|Álvarez de Eulate Molne|Iker Álvarez|2001-07-25|Andorra|190||goalkeeper
3855|Emmanuel|Badu||1990-12-02|Ghana|173|71|midfielder
3856|Nicholas|Pierini||1998-08-06|Italy|176|70|striker
3857|Lenny|Pintor||2000-08-05|France|179|66|striker
3858|Ahmed|Sidibé||2002-02-10|France|186||midfielder
3859|Aaron|Hickey||2002-06-10|Scotland|178|72|defender
3860|Caleb|Stanko||1993-07-26|USA|180|81|
3861|Dominik|Kohr||1994-01-31|Germany|183|77|midfielder
3862|Laurent|Abergel||1993-02-01|France|170|65|Defensive Midfielder
3863|Jan|Oliveras||2004-07-07|Italy|||defender
3864|Thakgalo|Leshabela||1999-09-18|South Africa|175|72|midfielder
3865|Mika|Schroers||2002-02-04|Germany|180|77|
3866|Issa|Cissokho||1985-02-23|Senegal|173|73|Difensore
3867|Benito|Raman||1994-11-07|Belgium|172|67|midfielder
3868|Joelinton Cássio|Apolinário de Lira|Joelinton|1996-08-14|Brazil|186|81|striker
3869|Carl|Stewart||1997-05-02|England|175|64|Centrocampista Centrale
3870|Abdoulaye|Ba||1991-01-01|Senegal|197|82|defender
3871|Leonardo Bonatini|Lohner Maia|Léo Bonatini|1994-03-28|Brazil|185|80|
3872|Nathaniel|Chalobah||1994-12-12|England|187|80|Defensive Midfielder
3873|Ondrej|Duda||1994-12-05|Slovakia|181|75|midfielder
3874|Matthias|Phaeton||2000-01-08|France|185||striker
3875|Aleksandar|Trajkovski||1992-09-05|North Macedonia|179|72|striker
3876|Patrick|Cutrone||1998-01-03|Italy|183|75|striker
3877|Alexander|Esswein||1990-03-25|Germany|182|85|midfielder
3878|Darijo|Srna||1982-05-01|Croatia|182|78|defender
3879|Brayann|Pereira||2003-05-21|France|172||
3880|Aleix|García||1997-06-28|Spain|173|68|
3881|Ki-Jana|Hoever||2002-01-18|Netherlands|180|65|defender
3882|Mamadou|Fofana|Mamadou Fofana I|1998-01-21|Mali|187|75|
3883|Georg|Teigl||1991-02-09|Austria|183|77|midfielder
3884|Adrian|Oeynhausen||2002-01-18|Germany|178|68|
3885|Can|Bozdogan||2001-04-05|Germany|174|72|midfielder
3886|Marvin|Zeegelaar||1990-08-12|Netherlands|186|84|defender
3887|Sandro|Ramírez||1995-07-09|Spain|175|71|midfielder
3888|Marc Oliver|Kempf||1995-01-28|Germany|186|87|defender
3889|Tyrese|Francois||2000-07-16|Australia|166|55|midfielder
3890|Georges|Gope-Fenepej||1988-10-23|New Caledonia|182|74|midfielder
3891|Jessy|Benet||1995-06-24|France|186||midfielder
3892|Julian|Jeanvier||1992-03-31|Guinea|185|84|defender
3893|Cristiano|Lombardi||1995-08-19|Italy|180|75|striker
3894|Robert|Lewandowski||1988-08-21|Poland|185|81|striker
3895|Dialy Kobaly|Ndiaye|Dialy Ndiaye|1999-07-04|Senegal|193|83|goalkeeper
3896|James|Daly||2000-01-12|England|||striker
3897|Petar|Stojanovic||1995-10-07|Slovenia|178|69|defender
3898|Milan|Bisevac||1983-08-31|Serbia|185|81|
3899|Matteo|Soncin||2001-03-28|Italy|190||goalkeeper
3900|Marlos|Moreno||1996-09-20|Colombia|171|66|midfielder
3901|Miguel|Rodriguez||2003-04-29|Spain|||midfielder
3902|Ibrahim|Sangaré||1997-12-02|Côte d&#39;Ivoire|191|77|midfielder
3903|Philip|Fontein||1993-10-05|Germany|184|84|midfielder
3904|José Ignacio|Peleteiro Ramallo|Jota|1991-06-16|Spain|180|70|midfielder
3905|Jeremy|Toljan||1994-08-08|Germany|182|74|defender
3906|Jamaal|Lascelles||1993-11-11|England|188|89|defender
3907|João Filipe Iria|Santos Moutinho|João Moutinho|1986-09-08|Portugal|170|61|midfielder
3908|José Ángel|Valdés Díaz|Cote|1989-09-05|Spain|182|74|defender
3909|Luiz Gustavo|Dias|Luiz Gustavo|1987-07-23|Brazil|187|78|Defensive Midfielder
3910|Erik|Morán||1991-05-25|Spain|187|74|Defensive Midfielder
3911|Francisco|Mérida Pérez|Fran Mérida|1990-03-04|Spain|177|74|midfielder
3912|Carlos Eugenio|Júnior Tavares dos Santos|Júnior Tavares|1996-08-07|Brazil|178|69|defender
3913|Eñaut|Mendía||1999-06-21|Spain|||midfielder
3914|Marco|Richter||1997-11-24|Germany|176|74|midfielder
3915|Afriyie|Acquah||1992-01-05|Ghana|179|70|midfielder
3916|Joe|White||2002-10-01|England|186||midfielder
3917|Alejandro|Baena|Álex Baena|2001-07-20|Spain|||midfielder
3918|Abdelkabir|Abqar||1999-03-10|Morocco|188|80|defender
3919|Alexander|Mesa Travieso|Nano Mesa|1995-02-05|Spain|178|77|striker
3920|Georges|Mikautadze||2000-10-31|Georgia|176|71|striker
3921|Kenny|Lala||1991-10-03|France|178|78|defender
3922|Kenan|Kodro||1993-08-19|Bosnia and Herzegovina|190|80|striker
3923|Joaquín|Ardáiz||1999-01-11|Uruguay|184|81|
3924|Julien|Boyer||1998-04-10|France|||defender
3925|Antonio|Mazzotta||1989-08-02|Italy|183|73|defender
3926|Daniel|Parejo||1989-04-16|Spain|182|74|midfielder
3927|Pablo|Fornals||1996-02-22|Spain|178|67|midfielder
3928|Tyler|Morton||2002-10-31|England|||
3929|Roberto|De Angelis Durante|Roberto De Angelis|2001-07-27|Italy|||defender
3930|Yohann|Pelé||1982-11-04|France|196|89|goalkeeper
3931|Juan Cruz|Álvaro Armado|Juan Cruz|1992-07-28|Spain|180|79|defender
3932|Lucas|Chevalier||2001-11-06|France|189|78|goalkeeper
3933|Mauricio|Dos Santos Nascimento|Mauricio|1988-03-30|Brazil|185||defender
3934|Tommaso|De Lorenzo||2004-01-12|Italy|||defender
3935|Luka|Milivojevic||1991-04-07|Serbia|186|80|midfielder
3936|Nicolas|Isimat-Mirin||1991-11-15|France|187|82|defender
3937|Rubén|García|Rubén García|1998-10-20|Spain|182|73|
3938|Umut|Bozok||1996-09-19|Turkey|178|70|striker
3939|Tyler|Onyango||2003-03-04|England|190||midfielder
3940|Dario|Dainelli||1979-06-09|Italy|191|78|defender
3941|Jofre|Carreras||2001-06-17|Spain|||midfielder
3942|Pablo|Sarabia|Pablo Sarabia|1992-05-11|Spain|174|70|midfielder
3943|Luis|Perea||1997-08-25|Spain|192|80|midfielder
3944|Marco|D&#39;Alessandro||1991-02-17|Italy|173|71|midfielder
3945|Tobi|Omole||1999-12-17|England|||defender
3946|Alberto|Flores|Alberto Flores|2003-11-10|Spain|186||goalkeeper
3947|Etienne|Green||2000-07-19|England|||
3948|Bernardo|Calabrese||2002-04-25|Italy|||defender
3949|Aymane|Mourid||2000-05-07|Morocco|||defender
3950|Roberto|Suárez Pier|Rober Pier|1995-02-16|Spain|182|74|defender
3951|Léo|Lacroix||1992-02-27|Switzerland|195|85|
3952|Diego|Piñeiro del Álamo|Diego Piñeiro|2004-02-13|Spain|||goalkeeper
3953|Mathieu|Bodmer||1982-11-22|France|190|90|Defensive Midfielder
3954|Daniel|Sturridge||1989-09-01|England|188|76|striker
3955|Luciano|Narsingh||1990-09-13|Netherlands|178|69|midfielder
3956|Justin|Hoffmans||1997-02-26|Germany|176|70|defender
3957|Ángel|Algobia||1999-06-23|Spain|180|78|
